#Primo	Gaps
2	0
3	1
5	2
11	4
29	6
97	8
149	10
211	12
127	14
1847	16
541	18
907	20
1151	22
1693	24
2503	26
2999	28
4327	30
5623	32
1361	34
9587	36
30631	38
19373	40
16183	42
15727	44
81509	46
28277	48
31957	50
19661	52
35671	54
82129	56
44351	58
43391	60
34123	62
89753	64
162209	66
134581	68
173429	70
31469	72
404671	74
212777	76
188107	78
542683	80
265703	82
461801	84
156007	86
544367	88
404941	90
927961	92
1101071	94
360749	96
604171	98
396833	100
1444411	102
1388587	104
1098953	106
2238931	108
1468387	110
370373	112
492227	114
5845309	116
1349651	118
1895479	120
3117421	122
6752747	124
1671907	126
3851587	128
5518817	130
1357333	132
6958801	134
6371537	136
3826157	138
7621399	140
6034393	146
2010881	148
8421403	152
4652507	154
